,found_true_positive
img_21.png,True
img_173.png,True
img_134.png,True
img_194.png,False
img_195.png,False
img_204.png,False
img_161.png,True
img_112.png,True
img_162.png,True
img_110.png,False
img_198.png,True
img_20.png,True
img_196.png,False
img_131.png,True
img_127.png,True
img_125.png,True
img_136.png,True
img_152.png,True
img_147.png,True
img_113.png,True
img_184.png,True
img_19.png,True
img_128.png,False
img_114.png,True
img_18.png,True
img_174.png,True
img_190.png,False
img_160.png,True
img_137.png,True
img_202.png,False
img_159.png,True
img_172.png,True
img_175.png,True
img_185.png,False
img_124.png,False
img_145.png,True
img_199.png,False
img_164.png,True
img_178.png,True
img_181.png,True
img_193.png,False
img_176.png,True
img_154.png,True
img_10.png,True
img_146.png,True
img_132.png,True
img_144.png,True
img_183.png,True
img_192.png,False
img_119.png,False
img_203.png,False
img_191.png,False
img_129.png,True
img_150.png,True
img_156.png,True
img_141.png,True
img_138.png,True
img_139.png,True
img_148.png,False
img_200.png,False
img_171.png,True
img_143.png,True
img_197.png,False
img_130.png,True
img_158.png,True
img_157.png,True
img_117.png,False
img_111.png,True
img_188.png,True
img_151.png,False
img_115.png,True
img_140.png,True
img_166.png,True
img_169.png,True
img_155.png,True
img_168.png,True
img_116.png,False
img_14.png,True
img_133.png,True
img_22.png,True
img_11.png,True
img_135.png,True
img_142.png,True
img_177.png,True
img_186.png,True
img_189.png,False
img_205.png,False
img_153.png,True
img_180.png,True
img_170.png,True
img_187.png,False
img_182.png,True
img_126.png,True
img_179.png,True
img_13.png,True
img_163.png,True
img_165.png,True
img_149.png,True
img_167.png,True
img_12.png,True
